Application/Permit Number,Permit Type,Status,Category,Expiration Date,Location,Zipcode,Expected Construct Year,Expected Construct Month,Description
6064405,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/30/2014,"3044 38TH AVE SW
(47.57609778, -122.37998414)",98126,2014,1,Establish use as single family residence and construct new 2-story one family dwelling with attached garage per plan.
6074150,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,09/10/2018,"2318 PERKINS LN W
(47.63827547, -122.41029983)",98199,2018,9,"Establish use for and construct new single family dwelling with attached garage on ECA steep slope site per MUP 3003957, per plans"
6089932,Construction,Permit Issued,COMMERCIAL,02/11/2016,"9601 35TH AVE SW
(47.51709083, -122.37798858)",98126,2016,2,"Change of use from general retail sales and service to religious facility and construct substantial alterations to existing commercial building, occupy per plans."
6098690,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,11/22/2014,"11287 MARINE VIEW DR SW
(47.50065225, -122.37998721)",98146,2014,11,"Alteration of single family residence, per plan."
6098854,Construction,Permit Finaled,COMMERCIAL,02/18/2016,"1621 N 34TH ST
(47.64790943, -122.33815788)",98103,2016,2,"Shoring and excavation for future construction of an administrative office building with below grade parking, per plan."
6111278,Construction,Permit Issued,COMMERCIAL,10/10/2018,"3828 S GRAHAM ST
(47.54643751, -122.28432539)",98118,2018,10,"Establish Use as customer sales & services - Construct commercial structure shell & core, Occupancy under seperate permit, per plan."
6115758,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,02/06/2017,"3251 56TH PL SW
(47.57423355, -122.4044063)",98116,2017,2,"Establish use as and construct a new Single Family Residence with attached garage, per plan"
6118619,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/06/2017,"5403 COLUMBIA DR S
(47.55401928, -122.30433965)",98108,2017,1,"Construct additions and alterations, and construct ADU and detached carport accessory to single-family residence. Remove existing garage, per plans."
6122271,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,10/28/2017,"2859 29TH AVE W
(47.64638178, -122.3944972)",98199,2017,10,"Remove existing concrete stair at south side and deck at west side and construct new decks at west side of existing single family residence, per plan."
6122476,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,09/09/2017,"3508 NE 57TH ST
(47.67047724, -122.28974589)",98105,2017,9,"Establish use and construct one single family residence, establish one surface parking location, per plan"
6128401,Construction,Permit Issued,COMMERCIAL,09/09/2018,"920 5TH AVE
(47.6064785, -122.3313647)",98104,2018,9,"Phased project: Construction of a high-rise/ office, retail and below grade parking structure."
6135190,Construction,Permit Issued,MULTIFAMILY,08/01/2017,"9308 57TH AVE S
(47.51863853, -122.26141595)",98118,2017,8,Establish use as townhouse and construct a new 4-unit townhouse with attached garages per plans. (East unit has 1st floor live/work area).
6146807,Construction,Permit Issued,MULTIFAMILY,03/10/2018,"4922 S WILLOW ST
(47.5409447, -122.27065134)",98118,2018,3,"Construct 3 unit townhouse - building ""A"" this permit. (Establish use as and construct (8) 3 unit townhouses and (1) 2 unit townhouse, all w/ attached garages, per plans. Review and processing for 9 A/P’s under 6146807)"
6147225,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,02/26/2018,"6531 22ND AVE NW
(47.67690596, -122.38456406)",98117,2018,2,"Establish use as and construct new single family residence, per plan."
6148257,Construction,Permit Issued,COMMERCIAL,05/22/2018,"801 5TH AVE
(47.60547767, -122.33119077)",98104,2018,5,"Phase III of III. Architectural shell, core, and mechanical system for construction of a 46 story, 760,000 sq. ft. office building with below grade parking for 290 vehicles.TCO Conditions: Ok to occupy by valet attendants only. Locations: Parking garage levels C,D,E,F and G, Valet Office, Loading Dock and Valet Courtyard. SFD TCO recommendation letter must be posted with TCO."
6148655,Construction,Permit Issued,COMMERCIAL,11/17/2017,"505 MADISON ST
(47.6064785, -122.3313647)",98104,2017,11,"Shoring and Excavation only for construction of a high-rise/ office, retail and below grade parking structure."
6152679,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,11/20/2017,"7002 34TH AVE NW
(47.6795949, -122.40082139)",98117,2017,11,"Construct additions and alterations to an exsiting single family residence, per plan."
