Zipcode,TOTAL,MULTIFAMILY,SINGLE FAMILY / DUPLEX,COMMERCIAL,INSTITUTIONAL,INDUSTRIAL
98199,48,0,41,4,1,2
98144,43,8,25,9,1,0
98115,41,3,28,5,5,0
98101,40,0,0,39,1,0
98103,38,6,19,13,0,0
98119,35,6,15,11,1,2
98122,35,5,19,9,2,0
98109,35,6,15,14,0,0
98112,34,4,28,2,0,0
98107,33,5,17,10,1,0
98117,33,2,29,2,0,0
98116,32,5,20,6,0,1
98105,32,3,17,9,3,0
98118,28,6,15,6,1,0
98125,27,4,17,3,3,0
98104,26,2,0,23,1,0
98108,25,1,11,9,1,3
98102,23,8,11,4,0,0
98134,20,0,0,13,0,7
98121,16,3,2,11,0,0
98106,16,1,7,5,1,2
98136,15,0,13,2,0,0
98126,14,1,9,4,0,0
98133,11,4,2,4,0,1
98177,11,0,10,1,0,0
98154,2,0,0,2,0,0
98195,2,0,0,0,2,0
98178,1,0,1,0,0,0
98146,1,0,1,0,0,0
